rubenmorenopg,PP
MargalloJm,PP
vicpiriz1975,PP
CelsoDelgadoOU,PP
RociodeFrutos,PSOE
MLorenzo2018,PP
CiudadanaMartaR,Ciudadanos
ManoloMonereo,UP
AmbBatet,PSOE
JorgeFdezDiaz,PP
garridoirene1,PP
Eduardo_Fdez_,PP
TeresadeLara,PP
ESantosItoiz,UP
carmen_valido,UP
CarolinaEspanaR,PP
CarmenGGuinda,PP
aramosjor1,UP
Miguel_Viso,PP
jpyllanes,UP
FernanVello,UP
AnaBotellaPSOE,PSOE
RafaCatalaPolo,PP
HernandezBento,PP
PericoArrojo,UP
ma_bustamante84,UP
TomasBurgosVa,PP
MikelLegarda,PNV
MatildeAsian,PP
AmparoBotejara,UP
CnLacoba,PP
JoseRa_Ghdez,PP
lbarredaPP,PP
Mariueugene,PP
encinasalvador1,PSOE
RalloArtemi,PSOE
CsFernavarro,Ciudadanos
M_Aurora_Florez,PSOE
MSandraJulia,Ciudadanos
sdelcampocs,Ciudadanos
Carre1Ascension,PP
SofCastanon,UP
MartaGlezVzqz,PP
FeliuGuillaumes,Mixto
JaumeMoyaM,UP
saulCiudadanos,Ciudadanos
Alber_Canarias,UP
pepecanonucia,Ciudadanos
Dlorenzo54,Ciudadanos
PatriciaReyesCs,Ciudadanos
LoraCascales,PP
RitaBosaho,UP
mrhciudadanos,Ciudadanos
teofila_es,PP
imoblanca,Mixto
tamarayar,PSOE
Arevalo80MT,UP
marisolazuaga,PSOE
santia2015,PP
Francis41334448,PP
RicardoTarno,PP
QuintanillaCarm,PP
VicenteTen,Ciudadanos
margpuig,UP
gabrielrufian,ERC
VirginiaSalmeCs,Ciudadanos
IsabelCabezasRe,PP
Mbonilladomingu,PP
herrerobono,PP
NTremino,PP
ZaidaCantera,PSOE
NaguaAlba,UP
IMendezdeVigo,PP
CBescansa,UP
RodrigoGomGar,Ciudadanos
EvaGSempere,UP
antonipostius,Mixto
MoroMjesus,PP
AlfonsoCandon,PP
MGutierrezCs,Ciudadanos
anamarcelloana,UP
GirautaOficial,Ciudadanos
rosa_mr_,UP
Elena_Faba,Ciudadanos
_Irene_Rivera,Ciudadanos
jesusmariafer,PSOE
DcaValle,UP
Rosanalonso_10,UP
jaimedeolano,PP
antoniotrevin,PSOE
elenabastidasb,PP
Segundogg,UP
AlconchelMiriam,PSOE
JVMariBoso,PP
meripita44,UP
MarcialGoBal,Ciudadanos
MayoralRafa,UP
jjalonso10,PP
BarrachinaM,PP
juanviperezaras,PP
albamullor,PP
LimonesAG,PSOE
PiliCancela,PSOE
pepa_bayo,PSOE
RojoNoguera,PP
auxihonorato,UP
LasarteJavier,PSOE
jagirretxea,PNV
amonterosoler,UP
gpalacinguarne,PSOE
juanBravoBaena,PP
TristanaMg,PP
Yolanda_Diaz_,UP
GregorioCmara,PSOE
ccsalvador_,Mixto
ja_nietob,PP
pbustinduy,UP
susanalopezares,PP
casanyeta,Mixto
OscarClavell,PP
Mjesusserranoj,PSOE
pedrosaurag,PSOE
pablocasado_,PP
PradasTorres,PSOE
SSumelzo,PSOE
AnaZurita7,PP
AliciaSCamacho,PP
FranciscoIgea,Ciudadanos
ierrejon,UP
anioramas,Mixto
vendrellj,UP
Saludisabel,UP
Guadalupem1960,PSOE
cromeroher,PP
juanjimenezt,PSOE
edumaura,UP
AvelinoPP,PP
lidiaguinart,PSOE
AlfonsoAlonsoPP,PP
PedroAzpiazu,PNV
lucio_pilar,PSOE
JA_DelgadoRamos,UP
areynes2,PP
martintoledano,PP
SimancasRafael,PSOE
CarlotaMerchn,PSOE
mar_cotelo,PP
Patri_Blanquer,PSOE
anadebande, PP
SilviaHeredia,PP
TeresaJorda,ERC
de_santa_ana,PP
Hernanzsofia,PSOE
_ABallester,UP
ElviraRamon,PSOE
EBataller,Mixto
TeresaPalTous,PP
jillorenstorres,PP
Lucia___M,UP
joaquintorrevie,PP
EduMadina,PSOE
Rafa_Hernando,PP
sorayapsoe,PSOE
Mikele_V,UP
joanbaldovi,Mixto
MariaTorresTej,PP
anamadrazo61,PP
marianbeitia,Mixto
Irene_Montero_,UP
AntonGomezReino,UP
lcsahuquillo,PSOE
JoanTarda,ERC
JATorresMora,PSOE
Rsixtoiglesias,UP
Ferran_Bel,Mixto
ionebelarra,UP
miriamnoguerasM,Mixto
marianorajoy,PP
emeterina,PSOE
JoseMiguelCama1,PSOE
chanofranquis,PSOE
CarmenRCuello,PSOE
capdevilajoan,ERC
jsalvadorduch,ERC
bernabepaco,PP
MiguelGaraulet,Ciudadanos
NachoSAmor,PSOE
LoliMarcos,PP
anapastorjulian,PP
Pam_Angela_,UP
IsabelPodemos,UP
GloriaElizo,UP
J_Sanchez_Serna,UP
mrenau,UP
ruanojavier,PP
herick_campos,PSOE
rominguera,PSOE
Marta_Sibina,UP
odonelorza2011,PSOE
DolorsMM,PP
AGarciatizon,PP
mcduenas,PP
pedroacedo,PP
Saracarrenov,UP
BienveDeArriba,PP
juanluisgordo,PSOE
dvserrada,PSOE
nachoprendes,Ciudadanos
luzseijo,PSOE
Quin1954,PP
estherpcamarero,PSOE
soniafetesoro,PSOE
JDCarracedo,UP
Jefernandezmoya,PP
rosaromerocr,PP
ChiquilloBarber,PP
Angeles_isac,PP
PedroQuevedoIt,Mixto
aKollontai,UP
Tonicanto1,Ciudadanos
felipe_sicilia,PSOE
Sonia_Farre,UP
xavieritja,ERC
PabloBellido_Az,PSOE
eloysuarezl,PP
FMauraB,Ciudadanos
BelenHoyo,PP
Felisuco_,Ciudadanos
martinezmaillo,PP
felixaltafulla,UP
estercapella,ERC
raquelalonsoher,PP
_mundus, UP
VeraNoelia,UP
toniroldanm,Ciudadanos
TeoGarciaEgea,PP
mdcospedal,PP
belenbajo,PP
MercePerea,PSOE
GuillermoDiazCs,Ciudadanos
abalosmeco,PSOE
Adrilastra,PSOE
maherediadiaz,PSOE
micaela_navarro,PSOE
angeluisgonza,PP
gmariscalanaya,PP
frdelatorre,Ciudadanos
BeatrizEscu,PP
XavierDomenechs,UP
anasurra,ERC
sergimiquel,Mixto
JuLMilla,PSOE
MarcLamua,PSC
oscargamazo,PP
zoidoJI,PP
emilio_delrio,PP
Aglezterol,PP
jruizcarbonell,PSOE
cesarluena,PSOE
pascualsergio,UP
CarlosRojas_PPA,PP
AITOR_ESTEBAN,PNV
Pablo_Iglesias_,UP
iurquizu,PSOE
lciuro,Mixto
pilarmarcosd,PP
CiudadanoVille,Ciudadanos
isabelrguez,PSOE
javieranton,PSOE
guillermomeijon,PSOE
svalmana,PP
Albert_Rivera, Ciudadanos
AnaTerron_,UP
IgnasiCandela,Mixto
diego__clemente,Ciudadanos
mapaniagua,PP
Sorayapp,PP
fargmira,PSOE
juralde,UP
sanchezcastejon,PSOE
JavierMaroto,PP
JMVRUM,PP
martamartirio,Ciudadanos
joanmena,UP
AAlvarezAlvarez,PSOE
AinaVS,UP
oskarmatute,Mixto
inigoalli,Mixto
perejoanpons,PSOE
Ainhat,UP
AntonioHurtado,PSOE
juanmalpr,UP
mariagv,PSOE
JorgeLuisBail,UP
patxilopez,PSOE
LuisSalvador,Ciudadanos
jordiroca,PP
carlescampuzano,Mixto
jordixucla,Mixto
agarzon,UP
CesarJRamos,PSOE
jlayllon,PP
